timestamp,open,high,low,close,volume
1618444800000,10.0,11.62,9.7,10.23,325746.6
1618531200000,10.23,10.4,8.26,8.9,299645.75
1618617600000,8.88,10.99,8.6,10.79,477686.78
1618704000000,10.82,11.38,1.0,7.15,973293.48
1618790400000,7.12,7.61,5.51,5.87,290193.41
1618876800000,5.87,7.0,4.42,5.95,1401390.37
1618963200000,5.98,6.71,5.4,5.85,827639.51
1619049600000,5.92,6.73,4.2,4.38,1176772.68
1619136000000,4.38,4.71,2.29,3.14,2576770.6
1619222400000,3.14,3.14,2.62,2.67,828550.48
1619308800000,2.67,3.15,2.4,2.74,469177.24
1619395200000,2.74,3.69,2.66,3.67,778547.2
1619481600000,3.65,4.71,3.52,4.66,1805508.2
1619568000000,4.66,5.9,3.91,5.53,1967915.75
1619654400000,5.53,6.28,4.81,5.37,941500.31
1619740800000,5.41,5.78,5.09,5.41,2388445.29
1619827200000,5.41,5.68,4.62,5.01,489743.72
1619913600000,5.01,5.03,3.95,4.53,551919.13
1620000000000,4.51,5.83,4.51,5.6,2199202.96
1620086400000,5.62,5.73,3.5,3.54,6191453.1
1620172800000,3.55,5.84,3.44,4.96,4707241.27
1620259200000,4.95,7.89,4.82,5.8,3988054.19
1620345600000,5.8,6.71,5.19,5.65,2342885.71
1620432000000,5.65,8.14,5.43,7.3,3224558.56
1620518400000,7.29,7.38,5.58,6.24,2723967.37
1620604800000,6.24,6.46,3.3,4.37,2436968.52
1620691200000,4.36,4.8,3.9,4.8,1533928.82
1620777600000,4.79,5.26,3.51,3.66,2576229.07
1620864000000,3.69,4.17,3.19,3.68,2517596.82
1620950400000,3.67,4.04,3.56,3.86,2016403.91
1621036800000,3.86,4.19,3.35,3.36,1218506.17
1621123200000,3.37,3.74,2.65,3.16,1949980.9
1621209600000,3.16,3.19,2.45,2.71,2358810.65
1621296000000,2.72,3.34,2.66,3.21,5336548.81
1621382400000,3.21,3.5,0.06,0.129034,206814576.17
1621468800000,0.13,0.172434,0.102062,0.146092,57896312.21
1621555200000,0.146092,0.160316,0.082945,0.113,38022477.75
1621641600000,0.113,0.116668,0.08,0.083722,53776001.72
1621728000000,0.084585,0.095003,0.034987,0.057929,83697344.92
1621814400000,0.058015,0.087904,0.056188,0.084102,36338837.86
1621900800000,0.084696,0.09188,0.065564,0.081993,31633031.67
1621987200000,0.08289,0.110013,0.079382,0.108001,37586935.75
1622073600000,0.108232,0.108651,0.085634,0.101478,34180821.58
1622160000000,0.101531,0.1069,0.068029,0.075038,46255729.49
1622246400000,0.075146,0.085,0.061611,0.067225,28594423.56
1622332800000,0.067249,0.085965,0.060052,0.080973,28192012.18
1622419200000,0.081,0.100401,0.075555,0.096483,66350094.06
1622505600000,0.095934,0.1,0.080007,0.088762,60866810.96
1622592000000,0.088927,0.120317,0.0835,0.106226,43771618.67
1622678400000,0.10548,0.122182,0.102394,0.114245,25476891.85
1622764800000,0.114638,0.12506,0.08651,0.105252,63329820.79
1622851200000,0.105946,0.149806,0.102963,0.126284,70127365.3
1622937600000,0.125711,0.1558,0.12251,0.140486,49112449.41
1623024000000,0.1416,0.142,0.10444,0.108426,47097718.64
1623110400000,0.10821,0.11151,0.077,0.090688,81445676.24
1623196800000,0.090415,0.0975,0.079678,0.0948,69098854.95
1623283200000,0.094796,0.098247,0.077712,0.086498,30248472.94
1623369600000,0.086498,0.089828,0.066,0.070485,21615837.65
1623456000000,0.070122,0.075374,0.058156,0.069509,32330332.41
1623542400000,0.069,0.087972,0.063421,0.085748,33720316.29
1623628800000,0.085665,0.138293,0.0804,0.128827,90663263.12
1623715200000,0.128549,0.137998,0.11765,0.13465,30390684.09
1623801600000,0.134164,0.15003,0.117657,0.121806,35532632.39
1623888000000,0.121503,0.133365,0.098158,0.106671,32808189.82
1623974400000,0.107324,0.108119,0.08167,0.090142,39605614.69
1624060800000,0.090327,0.092948,0.080686,0.081239,30543663.36
1624147200000,0.081113,0.105237,0.069899,0.1,57907982.14
1624233600000,0.099999,0.103,0.057605,0.061788,97250813.24
1624320000000,0.061278,0.0704,0.035599,0.048435,163582516.94
1624406400000,0.0485,0.064796,0.043365,0.056276,84858841.86
1624492800000,0.05629,0.063254,0.049173,0.060527,42635084.44
1624579200000,0.060595,0.063997,0.044,0.044621,70863861.47
1624665600000,0.044621,0.0489,0.03942,0.045258,68759486.69
1624752000000,0.045133,0.051198,0.04308,0.050591,51297679.08
1624838400000,0.0508,0.05492,0.044539,0.049624,61820300.95
1624924800000,0.0497,0.058621,0.048791,0.052151,49182435.89
1625011200000,0.0524,0.053644,0.044,0.052,43068221.43
1625097600000,0.052,0.052,0.04317,0.0452,39800818.01
1625184000000,0.045251,0.046889,0.0415,0.046565,31025177.24
1625270400000,0.046373,0.050373,0.0442,0.049769,28309246.09
1625356800000,0.049771,0.0575,0.046998,0.051645,32508051.3
1625443200000,0.051406,0.05167,0.043694,0.049536,46849869.56
1625529600000,0.049536,0.068564,0.049531,0.064608,62308909.38
1625616000000,0.064605,0.070694,0.059623,0.060794,30500584.11
1625702400000,0.060379,0.061297,0.046355,0.048572,48803305.87
1625788800000,0.048522,0.053343,0.044469,0.050968,43462362.58
1625875200000,0.050975,0.053299,0.044666,0.047067,32178204.7
1625961600000,0.047101,0.050599,0.044844,0.04808,26082541.02
1626048000000,0.048359,0.051192,0.042551,0.044345,39124401.82
1626134400000,0.044316,0.045498,0.03905,0.040638,37472625.52
1626220800000,0.040637,0.041589,0.035443,0.039369,35748939.71
1626307200000,0.039394,0.041308,0.033849,0.034615,38793010.83
1626393600000,0.034656,0.036696,0.02823,0.028322,82558913.05
1626480000000,0.028316,0.031918,0.027728,0.029617,47936429.76
1626566400000,0.029889,0.032883,0.029119,0.030179,35738075.49
1626652800000,0.030179,0.0308,0.022939,0.023179,62497375.48
1626739200000,0.023182,0.024252,0.018688,0.02101,107760435.21
1626825600000,0.020938,0.026227,0.019724,0.024,81306502.69
1626912000000,0.024,0.03051,0.022828,0.029338,105816154.9
1626998400000,0.029325,0.032139,0.026565,0.031173,107186464.47
1627084800000,0.031175,0.032198,0.027376,0.02924,72771149.61
1627171200000,0.029204,0.031613,0.026518,0.0292,75688039.79
1627257600000,0.0292,0.0382,0.028448,0.0314,157878696.61
1627344000000,0.03148,0.03405,0.029523,0.0339,64366368.56
1627430400000,0.0339,0.034767,0.031285,0.032831,44495500.47
1627516800000,0.03294,0.035295,0.031703,0.034575,28528039.08
1627603200000,0.034782,0.03736,0.03201,0.036989,49203538.03
1627689600000,0.036985,0.04152,0.035285,0.039203,53920503.98
1627776000000,0.039296,0.04326,0.036192,0.037108,46510558.4
1627862400000,0.037,0.039641,0.035504,0.036659,33289196.25
1627948800000,0.03669,0.038,0.032025,0.033355,29778160.88
1628035200000,0.033446,0.0403,0.032235,0.03798,38152109.5
1628121600000,0.037877,0.041315,0.033565,0.040623,41120759.56
1628208000000,0.040624,0.046509,0.038357,0.04454,29121574.71
1628294400000,0.044533,0.05331,0.043593,0.0526,43021602.82
1628380800000,0.0526,0.052779,0.041089,0.043079,32635833.35
1628467200000,0.043081,0.057913,0.039052,0.054299,46586244.2
1628553600000,0.054281,0.059564,0.0503,0.056283,30299901.18
1628640000000,0.056018,0.0705,0.055724,0.062445,39745066.86
1628726400000,0.062268,0.068745,0.0508,0.055867,39804767.55
1628812800000,0.056086,0.06827,0.055168,0.068256,26834523.27
1628899200000,0.068092,0.070151,0.060853,0.0675,23055245.27
1628985600000,0.067587,0.068884,0.05958,0.066643,20642310.9
1629072000000,0.066819,0.078568,0.063292,0.066081,39653183.84
1629158400000,0.066007,0.0835,0.062772,0.067396,60065274.25
1629244800000,0.067254,0.07621,0.060577,0.069039,45061510.25
1629331200000,0.069198,0.086594,0.067208,0.084817,44621345.64
1629417600000,0.084847,0.095067,0.082085,0.086146,24967869.07
1629504000000,0.08616,0.090589,0.079562,0.081249,21786312.46
1629590400000,0.081249,0.0885,0.075005,0.081829,16603667.32
1629676800000,0.082249,0.087946,0.078502,0.083139,13534785.09
1629763200000,0.083028,0.088388,0.061501,0.064105,31829936.03
1629849600000,0.063814,0.070432,0.057643,0.068969,29431655.88
1629936000000,0.069011,0.070911,0.053093,0.056439,31909014.38
