timestamp,open,high,low,close,volume
1748217600000,2.995,3.016,2.934,2.969,5149962.38
1748304000000,2.969,3.029,2.923,3.008,4855159.44
1748390400000,3.008,3.698,2.973,3.325,50640776.62
1748476800000,3.325,3.474,3.242,3.389,20411260.1
1748563200000,3.39,3.407,3.066,3.088,12683635.67
1748649600000,3.087,3.166,2.992,3.148,6384996.33
1748736000000,3.149,3.22,3.08,3.188,3604260.15
1748822400000,3.188,3.252,3.1,3.216,4616375.89
1748908800000,3.217,3.238,3.16,3.182,4466755.65
1748995200000,3.182,3.225,3.137,3.169,3887514.49
1749081600000,3.17,3.259,2.995,3.032,10844964.88
1749168000000,3.032,3.205,3.02,3.152,5889374.04
1749254400000,3.152,3.205,3.14,3.18,4135230.98
1749340800000,3.181,3.201,3.12,3.17,5034428.92
1749427200000,3.171,3.329,3.15,3.306,9526517.92
1749513600000,3.307,3.395,3.271,3.348,8028564.44
1749600000000,3.349,3.351,3.204,3.238,9038529.73
1749686400000,3.237,3.245,3.069,3.088,5928034.38
1749772800000,3.087,3.088,2.898,3.024,11296324.76
1749859200000,3.024,3.036,2.904,2.952,4311913.92
1749945600000,2.953,2.984,2.939,2.973,2964904.26
1750032000000,2.974,3.047,2.953,2.965,6307712.03
1750118400000,2.965,3.025,2.912,2.959,5652594.01
1750204800000,2.958,2.992,2.847,2.947,5088438.12
1750291200000,2.948,2.977,2.897,2.969,3152730.98
1750377600000,2.969,3.01,2.888,2.937,5664654.35
1750464000000,2.937,2.97,2.772,2.856,4972088.19
1750550400000,2.856,2.895,2.604,2.732,9503323.21
1750636800000,2.731,2.926,2.713,2.908,7198125.85
1750723200000,2.909,2.935,2.871,2.906,4632159.61
1750809600000,2.905,2.918,2.813,2.834,3686947.64
1750896000000,2.834,2.888,2.791,2.814,3071916.38
1750982400000,2.814,2.867,2.803,2.851,2883838.48
1751068800000,2.85,2.861,2.821,2.852,1694938.84
1751155200000,2.853,2.92,2.836,2.913,2891179.6
1751241600000,2.913,2.967,2.869,2.912,3754969.51
1751328000000,2.912,2.915,2.75,2.787,6097097.52
1751414400000,2.788,2.908,2.761,2.865,4352149.78
1751500800000,2.866,2.922,2.811,2.851,5341586.15
1751587200000,2.851,2.855,2.73,2.741,5456976.23
1751673600000,2.741,2.766,2.717,2.746,2335258.88
1751760000000,2.746,3.09,2.72,2.838,37557836.96
1751846400000,2.838,2.856,2.728,2.736,10481473.38
1751932800000,2.736,2.808,2.726,2.802,5902956.64
1752019200000,2.803,2.868,2.788,2.836,5256652.65
1752105600000,2.837,2.948,2.828,2.943,7523955.61
1752192000000,2.944,3.018,2.903,2.961,17658907.75
1752278400000,2.961,3.023,2.897,3.0,8386272.07
1752364800000,3.0,3.047,2.942,2.969,5992588.78
1752451200000,2.97,3.057,2.952,3.025,9933640.5
1752537600000,3.025,3.1,2.955,3.094,7890005.83
1752624000000,3.095,3.189,3.056,3.158,8070340.08
1752710400000,3.159,3.27,3.099,3.196,10191065.6
1752796800000,3.196,3.352,3.147,3.188,12060118.77
1752883200000,3.189,3.226,3.134,3.195,4325676.68
1752969600000,3.196,3.325,3.174,3.275,7320125.05
1753056000000,3.276,3.38,3.224,3.323,7842269.54
1753142400000,3.323,3.594,3.195,3.34,29976154.19
1753228800000,3.34,3.348,3.095,3.199,15097688.55
1753315200000,3.199,3.347,3.018,3.12,12483794.33
1753401600000,3.121,3.196,3.043,3.191,5149519.78
1753488000000,3.191,3.376,3.185,3.298,7810541.55
1753574400000,3.298,3.383,3.28,3.375,5576246.25
1753660800000,3.375,3.446,3.184,3.207,8180843.47
1753747200000,3.207,3.41,3.18,3.377,11101258.52
1753833600000,3.377,3.494,3.263,3.406,16679863.89
1753920000000,3.406,3.688,3.404,3.529,19857777.24
1754006400000,3.528,3.68,3.347,3.564,23146786.46
1754092800000,3.565,3.723,3.495,3.541,13207830.19
1754179200000,3.542,3.749,3.459,3.559,10450994.34
1754265600000,3.559,3.674,3.328,3.42,19338350.33
1754352000000,3.42,3.425,3.178,3.195,10216346.32
1754438400000,3.196,3.325,3.139,3.308,9221558.44
1754524800000,3.308,3.357,3.222,3.346,8764251.88
1754611200000,3.345,3.393,3.272,3.335,13924367.33
1754697600000,3.335,3.485,3.314,3.386,11019764.09
1754784000000,3.387,3.435,3.29,3.348,6048086.0
1754870400000,3.349,3.452,3.295,3.365,10186335.21
1754956800000,3.366,3.551,3.332,3.502,9742413.6
1755043200000,3.502,3.544,3.367,3.531,14675824.54
1755129600000,3.532,3.643,3.314,3.411,15640395.15
1755216000000,3.411,3.513,3.324,3.44,7878547.39
1755302400000,3.439,3.51,3.411,3.46,3584100.13
1755388800000,3.46,3.539,3.435,3.517,4511726.11
1755475200000,3.517,3.526,3.307,3.329,7158843.84
1755561600000,3.328,3.354,3.184,3.225,11660896.91
1755648000000,3.224,3.293,3.195,3.28,5036794.0
1755734400000,3.281,3.338,3.231,3.315,5217288.7
1755820800000,3.315,3.442,3.204,3.423,10457256.28
1755907200000,3.423,3.44,3.332,3.381,6058895.7
1755993600000,3.382,3.408,3.27,3.299,5199904.38
1756080000000,3.3,3.327,3.093,3.115,7824168.56
1756166400000,3.115,3.181,3.104,3.167,4862435.21
1756252800000,3.167,3.208,3.124,3.139,6760044.56
1756339200000,3.138,3.286,3.111,3.175,11783561.7
1756425600000,3.176,3.186,3.021,3.074,8466236.59
1756512000000,3.075,3.142,3.035,3.127,5418097.8
1756598400000,3.127,3.188,3.124,3.165,2378855.01
1756684800000,3.165,3.174,3.081,3.108,4423566.08
1756771200000,3.108,3.184,3.093,3.169,3835648.11
1756857600000,3.168,3.2,3.127,3.176,4010868.02
1756944000000,3.177,3.203,3.086,3.098,4450377.07
1757030400000,3.097,3.142,3.071,3.09,4370952.62
1757116800000,3.089,3.095,2.998,3.059,3302051.49
1757203200000,3.06,3.107,3.06,3.094,2114547.47
1757289600000,3.094,3.111,3.077,3.095,4395991.11
1757376000000,3.096,3.149,3.065,3.094,7943139.23
1757462400000,3.094,3.172,3.086,3.171,5644255.64
1757548800000,3.171,3.228,3.158,3.188,5978905.64
1757635200000,3.188,3.233,3.17,3.219,5044921.18
1757721600000,3.219,3.266,3.183,3.227,5847271.38
1757808000000,3.227,3.248,3.138,3.18,3765404.13
1757894400000,3.18,3.225,3.114,3.156,4480435.68
1757980800000,3.156,3.194,3.125,3.156,3611074.22
1758067200000,3.157,3.164,3.052,3.129,7293268.37
1758153600000,3.13,3.182,3.117,3.159,4782438.88
1758240000000,3.158,3.2,3.097,3.108,5345275.5
1758326400000,3.107,3.116,3.082,3.091,2125418.1
1758412800000,3.091,3.096,3.044,3.065,2860779.55
1758499200000,3.065,3.084,2.581,2.805,18272519.2
1758585600000,2.806,2.846,2.75,2.808,5865840.58
1758672000000,2.809,2.848,2.771,2.817,3586531.75
1758758400000,2.817,2.824,2.615,2.661,7133955.85
1758844800000,2.662,2.771,2.639,2.744,6022023.38
1758931200000,2.744,2.746,2.683,2.708,2894816.83
1759017600000,2.709,2.726,2.655,2.723,3106836.34
1759104000000,2.722,2.728,2.662,2.698,4005177.29
1759190400000,2.698,2.725,2.61,2.71,6960726.12
1759276800000,2.709,2.789,2.653,2.786,5579847.74
1759363200000,2.787,2.859,2.773,2.844,5929169.45
1759449600000,2.844,2.878,2.782,2.86,6202846.9
1759536000000,2.86,2.899,2.786,2.809,4028374.88
1759622400000,2.808,2.867,2.782,2.796,6004105.21
1759708800000,2.795,2.877,2.785,2.855,5067116.11
1759795200000,2.854,2.862,2.745,2.753,6748528.43
1759881600000,2.754,2.788,2.704,2.776,6216515.05
1759968000000,2.776,2.785,2.658,2.74,5650976.14
1760054400000,2.74,2.755,0.554,2.052,45233738.0
1760140800000,2.053,2.253,2.013,2.097,26537627.45
1760227200000,2.096,2.326,2.063,2.274,13364285.41
1760313600000,2.274,2.376,2.215,2.368,11149113.74
1760400000000,2.367,2.374,2.164,2.302,8835595.8
1760486400000,2.302,2.349,2.181,2.219,8411670.59
1760572800000,2.219,2.293,2.143,2.178,7882367.14
1760659200000,2.179,2.214,2.015,2.119,9613266.38
1760745600000,2.12,2.194,2.109,2.154,3696835.88
1760832000000,2.154,2.243,2.125,2.21,3316376.72
1760918400000,2.21,2.298,2.175,2.236,4190036.78
1761004800000,2.235,2.318,2.127,2.139,6238297.44
1761091200000,2.139,2.159,2.061,2.113,5927250.56
1761177600000,2.113,2.148,2.106,2.126,3948766.33
1761264000000,2.126,2.182,2.116,2.167,4576375.34
1761350400000,2.168,2.178,2.133,2.148,3419949.11
1761436800000,2.148,2.24,2.132,2.228,4195845.27
1761523200000,2.228,2.284,2.188,2.235,5884736.03
1761609600000,2.235,2.321,2.192,2.243,7961742.78
1761696000000,2.243,2.326,2.17,2.213,10473949.54
1761782400000,2.213,2.228,2.077,2.155,6795775.4
1761868800000,2.155,2.301,2.138,2.284,10286066.12
1761955200000,2.285,2.345,2.277,2.308,5783877.47
1762041600000,2.309,2.362,2.264,2.31,4641385.81
1762128000000,2.311,2.312,1.99,2.017,13444656.99
1762214400000,2.017,2.042,1.792,1.902,20150788.38
1762300800000,1.901,1.969,1.832,1.958,9397418.84
1762387200000,1.959,1.963,1.885,1.958,5580208.83
1762473600000,1.959,2.127,1.92,2.091,10055010.0
1762560000000,2.091,2.151,2.049,2.094,6035476.09
1762646400000,2.093,2.146,2.023,2.11,4736749.91
1762732800000,2.109,2.155,2.096,2.14,6333134.6
1762819200000,2.141,2.165,2.021,2.031,6828791.37
1762905600000,2.031,2.12,1.984,2.01,6184630.33
1762992000000,2.01,2.106,1.94,1.988,10825642.17
1763078400000,1.989,2.0,1.796,1.819,12486366.52
1763164800000,1.819,1.89,1.802,1.855,7138597.13
1763251200000,1.855,1.867,1.751,1.823,6574347.76
1763337600000,1.824,1.855,1.723,1.759,8583613.35
1763424000000,1.759,1.833,1.743,1.795,8025546.63
1763510400000,1.794,1.801,1.69,1.729,7232020.67
1763596800000,1.729,1.746,1.56,1.565,10345047.05
1763683200000,1.565,1.586,1.457,1.525,14873817.85
1763769600000,1.525,1.555,1.487,1.534,6621618.64
1763856000000,1.534,1.549,1.457,1.47,10323597.88
1763942400000,1.469,1.616,1.454,1.549,13593254.84
1764028800000,1.549,1.575,1.488,1.559,11793445.22
1764115200000,1.56,1.617,1.544,1.608,7055908.1
1764201600000,1.608,1.657,1.587,1.635,4866985.74
1764288000000,1.636,1.657,1.582,1.583,5726463.59
1764374400000,1.583,1.614,1.574,1.578,3302174.27
1764460800000,1.579,1.619,1.55,1.593,4715087.11
1764547200000,1.594,1.598,1.438,1.503,10370418.08
1764633600000,1.502,1.592,1.485,1.58,6212149.27
1764720000000,1.58,1.67,1.571,1.648,7700167.53
1764806400000,1.649,1.66,1.571,1.592,5846168.94
1764892800000,1.591,1.604,1.53,1.572,5125379.35
1764979200000,1.571,1.602,1.566,1.598,3681561.48
1765065600000,1.598,1.676,1.552,1.616,6992376.43
1765152000000,1.616,1.68,1.603,1.619,6652268.31
1765238400000,1.62,1.697,1.601,1.665,5707276.3
1765324800000,1.665,1.705,1.629,1.657,5178368.01
1765411200000,1.658,1.666,1.591,1.645,6334530.44
1765497600000,1.645,1.653,1.578,1.61,4701039.41
1765584000000,1.61,1.63,1.6,1.618,2475489.7
1765670400000,1.618,1.637,1.534,1.546,5224782.84
1765756800000,1.547,1.583,1.461,1.495,6898871.93
1765843200000,1.495,1.567,1.481,1.548,5826269.2
1765929600000,1.55,1.572,1.46,1.472,6729845.17
